IYEAR,IMONTH,IDAY,MAXF,AVGF,MINF
2021,7,1,78,64.8,54
2021,7,2,85,64.9,46
2021,7,3,86,71.5,54
2021,7,4,90,75.4,56
2021,7,5,88,76.8,65
2021,7,6,68,59.9,54
2021,7,7,67,55,43
2021,7,8,72,55.2,34
2021,7,9,78,60.3,37
2021,7,10,83,64.4,42
2021,7,11,85,66,48
2021,7,12,82,64.5,52
2021,7,13,84,66.9,50
2021,7,14,78,66.3,52
2021,7,15,80,55.5,44
2021,7,16,84,57.7,44
2021,7,17,87,62.8,48
2021,7,18,87,62.5,49
2021,7,19,76,65.2,52
2021,7,20,74,66.8,58
2021,7,21,63,58.4,53
2021,7,22,84,67.2,56
2021,7,23,88,70.6,60
2021,7,24,84,69.7,56
2021,7,25,85,68.7,49
2021,7,26,88,66.2,48
2021,7,27,82,61.2,53
2021,7,28,77,61,52
2021,7,29,76,65.2,50
2021,7,30,80,59.6,45
2021,7,31,76,62.4,51
2021,8,1,75,57.8,43
2021,8,2,81,62.6,48
2021,8,3,83,65.3,49
2021,8,4,81,60,48
2021,8,5,79,67.2,60
2021,8,6,76,66.3,57
2021,8,7,72,61.9,56
2021,8,8,71,62.9,57
2021,8,9,85,69.6,62
2021,8,10,81,70.8,63
2021,8,11,78,66.9,58
2021,8,12,70,61.9,45
2021,8,13,72,56,37
2021,8,14,84,61.2,35
2021,8,15,87,72.5,53
2021,8,16,84,71.8,59
2021,8,17,89,75.3,63
2021,8,18,88,76,64
2021,8,19,89,67.1,56
2021,8,20,86,69.1,59
2021,8,21,70,62.1,46
2021,8,22,76,50.1,38
2021,8,23,82,65.9,55
2021,8,24,79,60.5,48
2021,8,25,76,63.9,54
2021,8,26,65,58.1,49
2021,8,27,62,59.8,54
2021,8,28,71,64.2,60
2021,8,29,75,64.3,50
2021,8,30,72,55.8,47
2021,8,31,74,50.3,42
2021,9,1,74,49.9,39
2021,9,2,66,57.5,46
2021,9,3,61,57.9,55
2021,9,4,74,59.8,50
2021,9,5,65,56.1,42
2021,9,6,76,51.7,33
2021,9,7,70,56.9,0
2021,9,8,63,54.6,0
2021,9,9,68,49.1,40
2021,9,10,77,48.1,37
2021,9,11,67,55.3,49
2021,9,12,66,53.9,43
2021,9,13,69,51.4,34
2021,9,14,66,55,40
2021,9,15,73,47.3,32
2021,9,16,79,65.3,56
2021,9,17,63,54,37
2021,9,18,70,49.6,31
2021,9,19,86,73,60
2021,9,20,75,62,51
2021,9,21,60,51,35
2021,9,22,68,42,29
2021,9,23,70,42.7,31
2021,9,24,59,48.1,39
2021,9,25,59,50.2,38
2021,9,26,76,59.5,44
2021,9,27,69,52.5,39
2021,9,28,79,48.7,36
2021,9,29,79,53.2,42
2021,9,30,81,61.5,46
2021,10,1,68,61.9,58
2021,10,2,65,60.2,56
2021,10,3,67,54,44
2021,10,4,67,48.9,42
2021,10,5,70,48.6,40
2021,10,6,70,56.9,50
2021,10,7,70,56.7,49
2021,10,8,64,59.4,54
2021,10,9,64,58.8,50
2021,10,10,68,58,48
2021,10,11,57,52.5,49
2021,10,12,62,55.4,52
2021,10,13,58,54.8,50
