CITY,County,Winter,days_after_Jul_1,IYEAR,IMONTH,IDAY,DATE,AVG_DAILY_TEMP_F,HOT_F,CUMM_HOT_F,COLD_F,CUMM_COLD_F,THAW_DEPTH_in,FROST_DEPTH_in
ORR,,2016-2017,0,2016,7,1,2016-07-01,58.0,26.0,26.0,0.0,0.0,,
ORR,,2016-2017,1,2016,7,2,2016-07-02,60.0,28.0,54.0,0.0,0.0,,
ORR,,2016-2017,2,2016,7,3,2016-07-03,63.0,31.0,85.0,0.0,0.0,,
ORR,,2016-2017,3,2016,7,4,2016-07-04,68.0,36.0,121.0,0.0,0.0,,
ORR,,2016-2017,4,2016,7,5,2016-07-05,69.0,37.0,158.0,0.0,0.0,,
ORR,,2016-2017,5,2016,7,6,2016-07-06,66.0,34.0,192.0,0.0,0.0,,
ORR,,2016-2017,6,2016,7,7,2016-07-07,62.0,30.0,222.0,0.0,0.0,,
ORR,,2016-2017,7,2016,7,8,2016-07-08,64.0,32.0,254.0,0.0,0.0,,
ORR,,2016-2017,8,2016,7,9,2016-07-09,64.0,32.0,286.0,0.0,0.0,,
ORR,,2016-2017,9,2016,7,10,2016-07-10,68.0,36.0,322.0,0.0,0.0,,
ORR,,2016-2017,10,2016,7,11,2016-07-11,67.0,35.0,357.0,0.0,0.0,,
ORR,,2016-2017,11,2016,7,12,2016-07-12,70.0,38.0,395.0,0.0,0.0,,
ORR,,2016-2017,12,2016,7,13,2016-07-13,66.0,34.0,429.0,0.0,0.0,,
ORR,,2016-2017,13,2016,7,14,2016-07-14,62.0,30.0,459.0,0.0,0.0,,
ORR,,2016-2017,14,2016,7,15,2016-07-15,60.0,28.0,487.0,0.0,0.0,,
ORR,,2016-2017,15,2016,7,16,2016-07-16,63.0,31.0,518.0,0.0,0.0,,
ORR,,2016-2017,16,2016,7,17,2016-07-17,65.0,33.0,551.0,0.0,0.0,,
ORR,,2016-2017,17,2016,7,18,2016-07-18,64.0,32.0,583.0,0.0,0.0,,
ORR,,2016-2017,18,2016,7,19,2016-07-19,65.0,33.0,616.0,0.0,0.0,,
ORR,,2016-2017,19,2016,7,20,2016-07-20,74.0,42.0,658.0,0.0,0.0,,
ORR,,2016-2017,20,2016,7,21,2016-07-21,75.0,43.0,701.0,0.0,0.0,,
ORR,,2016-2017,21,2016,7,22,2016-07-22,72.0,40.0,741.0,0.0,0.0,,
ORR,,2016-2017,22,2016,7,23,2016-07-23,67.0,35.0,776.0,0.0,0.0,,
ORR,,2016-2017,23,2016,7,24,2016-07-24,71.0,39.0,815.0,0.0,0.0,,
ORR,,2016-2017,24,2016,7,25,2016-07-25,70.0,38.0,853.0,0.0,0.0,,
ORR,,2016-2017,25,2016,7,26,2016-07-26,72.0,40.0,893.0,0.0,0.0,,
ORR,,2016-2017,26,2016,7,27,2016-07-27,66.0,34.0,927.0,0.0,0.0,,
ORR,,2016-2017,27,2016,7,28,2016-07-28,63.0,31.0,958.0,0.0,0.0,,
ORR,,2016-2017,28,2016,7,29,2016-07-29,64.0,32.0,990.0,0.0,0.0,,
ORR,,2016-2017,29,2016,7,30,2016-07-30,64.0,32.0,1022.0,0.0,0.0,,
ORR,,2016-2017,30,2016,7,31,2016-07-31,66.0,34.0,1056.0,0.0,0.0,,
ORR,,2016-2017,31,2016,8,1,2016-08-01,71.0,39.0,1095.0,0.0,0.0,,
ORR,,2016-2017,32,2016,8,2,2016-08-02,71.0,39.0,1134.0,0.0,0.0,,
ORR,,2016-2017,33,2016,8,3,2016-08-03,70.0,38.0,1172.0,0.0,0.0,,
ORR,,2016-2017,34,2016,8,4,2016-08-04,70.0,38.0,1210.0,0.0,0.0,,
ORR,,2016-2017,35,2016,8,5,2016-08-05,66.0,34.0,1244.0,0.0,0.0,,
