IYEAR,IMONTH,IDAY,AVG_DAILY_TEMP_F,DATE,COLD_F,HOT_F,INDEX,CUMM_COLD_F,CUMM_HOT_F
2021,7,1,67.0,2021-07-01,0.0,35.0,0,0.0,35.0
2021,7,2,69.0,2021-07-02,0.0,37.0,1,0.0,72.0
2021,7,3,75.0,2021-07-03,0.0,43.0,2,0.0,115.0
2021,7,4,78.0,2021-07-04,0.0,46.0,3,0.0,161.0
2021,7,5,75.0,2021-07-05,0.0,43.0,4,0.0,204.0
2021,7,6,65.0,2021-07-06,0.0,33.0,5,0.0,237.0
2021,7,7,58.0,2021-07-07,0.0,26.0,6,0.0,263.0
2021,7,8,57.0,2021-07-08,0.0,25.0,7,0.0,288.0
2021,7,9,64.0,2021-07-09,0.0,32.0,8,0.0,320.0
2021,7,10,66.0,2021-07-10,0.0,34.0,9,0.0,354.0
2021,7,11,71.0,2021-07-11,0.0,39.0,10,0.0,393.0
2021,7,12,72.0,2021-07-12,0.0,40.0,11,0.0,433.0
2021,7,13,71.0,2021-07-13,0.0,39.0,12,0.0,472.0
2021,7,14,66.0,2021-07-14,0.0,34.0,13,0.0,506.0
2021,7,15,64.0,2021-07-15,0.0,32.0,14,0.0,538.0
2021,7,16,68.0,2021-07-16,0.0,36.0,15,0.0,574.0
2021,7,17,72.0,2021-07-17,0.0,40.0,16,0.0,614.0
2021,7,18,73.0,2021-07-18,0.0,41.0,17,0.0,655.0
2021,7,19,72.0,2021-07-19,0.0,40.0,18,0.0,695.0
2021,7,20,68.0,2021-07-20,0.0,36.0,19,0.0,731.0
2021,7,21,59.0,2021-07-21,0.0,27.0,20,0.0,758.0
2021,7,22,67.0,2021-07-22,0.0,35.0,21,0.0,793.0
2021,7,23,74.0,2021-07-23,0.0,42.0,22,0.0,835.0
2021,7,24,101.0,2021-07-24,0.0,69.0,23,0.0,904.0
2021,7,25,70.0,2021-07-25,0.0,38.0,24,0.0,942.0
2021,7,26,67.0,2021-07-26,0.0,35.0,25,0.0,977.0
2021,7,27,67.0,2021-07-27,0.0,35.0,26,0.0,1012.0
2021,7,28,68.0,2021-07-28,0.0,36.0,27,0.0,1048.0
2021,7,29,68.0,2021-07-29,0.0,36.0,28,0.0,1084.0
2021,7,30,60.0,2021-07-30,0.0,28.0,29,0.0,1112.0
2021,7,31,70.0,2021-07-31,0.0,38.0,30,0.0,1150.0
2021,8,1,61.0,2021-08-01,0.0,29.0,31,0.0,1179.0
2021,8,2,65.0,2021-08-02,0.0,33.0,32,0.0,1212.0
2021,8,3,69.0,2021-08-03,0.0,37.0,33,0.0,1249.0
2021,8,4,70.0,2021-08-04,0.0,38.0,34,0.0,1287.0
2021,8,5,71.0,2021-08-05,0.0,39.0,35,0.0,1326.0
2021,8,6,67.0,2021-08-06,0.0,35.0,36,0.0,1361.0
2021,8,7,64.0,2021-08-07,0.0,32.0,37,0.0,1393.0
2021,8,8,64.0,2021-08-08,0.0,32.0,38,0.0,1425.0
2021,8,9,71.0,2021-08-09,0.0,39.0,39,0.0,1464.0
2021,8,10,74.0,2021-08-10,0.0,42.0,40,0.0,1506.0
2021,8,11,70.0,2021-08-11,0.0,38.0,41,0.0,1544.0
2021,8,12,64.0,2021-08-12,0.0,32.0,42,0.0,1576.0
2021,8,13,57.0,2021-08-13,0.0,25.0,43,0.0,1601.0
2021,8,14,60.0,2021-08-14,0.0,28.0,44,0.0,1629.0
2021,8,15,76.0,2021-08-15,0.0,44.0,45,0.0,1673.0
2021,8,16,75.0,2021-08-16,0.0,43.0,46,0.0,1716.0
2021,8,17,76.0,2021-08-17,0.0,44.0,47,0.0,1760.0
2021,8,18,79.0,2021-08-18,0.0,47.0,48,0.0,1807.0
2021,8,19,78.0,2021-08-19,0.0,46.0,49,0.0,1853.0
2021,8,20,78.0,2021-08-20,0.0,46.0,50,0.0,1899.0
2021,8,21,68.0,2021-08-21,0.0,36.0,51,0.0,1935.0
2021,8,22,52.0,2021-08-22,0.0,20.0,52,0.0,1955.0
2021,8,23,69.0,2021-08-23,0.0,37.0,53,0.0,1992.0
2021,8,24,61.0,2021-08-24,0.0,29.0,54,0.0,2021.0
2021,8,25,65.0,2021-08-25,0.0,33.0,55,0.0,2054.0
2021,8,26,57.0,2021-08-26,0.0,25.0,56,0.0,2079.0
2021,8,27,58.0,2021-08-27,0.0,26.0,57,0.0,2105.0
2021,8,28,64.0,2021-08-28,0.0,32.0,58,0.0,2137.0
