IYEAR,IMONTH,IDAY,AVG_DAILY_TEMP_F
2010,1,1,-6.225
2010,1,2,-19.924999999999997
2010,1,3,-21.325000000000003
2010,1,4,-17.174999999999997
2010,1,5,-12.375
2010,1,6,-7.650000000000001
2010,1,7,-0.32500000000000007
2010,1,8,-5.930909090909091
2010,1,9,-6.657142857142857
2010,1,10,7.724999999999999
2010,1,11,11.675
2010,1,12,15.549999999999999
2010,1,13,20.35
2010,1,14,21.875
2010,1,15,17.475
2010,1,16,29.299999999999997
2010,1,17,26.549999999999997
2010,1,18,25.175
2010,1,19,20.299999999999997
2010,1,20,22.325000000000003
2010,1,21,21.475
2010,1,22,29.974999999999998
2010,1,23,31.492957746478872
2010,1,24,33.224999999999994
2010,1,25,25.450000000000003
2010,1,26,2.325
2010,1,27,-3.625
2010,1,28,-8.15
2010,1,29,-4.425000000000001
2010,1,30,-0.32173913043478264
2010,1,31,0.2591549295774647
2010,2,1,19.44927536231884
2010,2,2,-1.5250000000000001
2010,2,3,-1.5499999999999998
2010,2,4,12.925
2010,2,5,22.225
2010,2,6,11.5
2010,2,7,19.5
2010,2,8,18.725
2010,2,9,8.575
2010,2,10,2.3499999999999996
2010,2,11,3.5750000000000006
2010,2,12,5.525
2010,2,13,6.597183098591549
2010,2,14,12.25
2010,2,15,20.424999999999997
2010,2,16,18.5
2010,2,17,19.5
2010,2,18,17.674999999999997
2010,2,19,12.742857142857142
2010,2,20,12.149999999999999
2010,2,21,17.924999999999997
2010,2,22,14.125
2010,2,23,14.799999999999999
2010,2,24,-0.6749999999999999
2010,2,25,2.825
2010,2,26,9.7
2010,2,27,14.887323943661972
2010,2,28,23.525
2010,3,1,20.646153846153847
2010,3,2,22.950000000000003
2010,3,3,23.052173913043475
2010,3,4,24.35
2010,3,5,32.425
2010,3,6,36.349999999999994
2010,3,7,38.224999999999994
2010,3,8,34.425
2010,3,9,38.425
2010,3,10,39.775
2010,3,11,40.45
2010,3,12,39.675
2010,3,13,38.925
2010,3,14,45.125
2010,3,15,44.45
2010,3,16,41.55
2010,3,17,38.0
2010,3,18,44.224999999999994
2010,3,19,30.049999999999997
2010,3,20,23.12857142857143
2010,3,21,32.900000000000006
2010,3,22,39.3
2010,3,23,42.525000000000006
2010,3,24,31.424999999999997
2010,3,25,16.25
2010,3,26,23.975
2010,3,27,40.025000000000006
2010,3,28,31.5
2010,3,29,39.775000000000006
2010,3,30,51.34366197183099
2010,3,31,60.74782608695653
2010,4,1,50.2
2010,4,2,54.125
2010,4,3,42.95
2010,4,4,39.8
2010,4,5,48.849999999999994
2010,4,6,43.180281690140845
2010,4,7,35.75
2010,4,8,34.675
2010,4,9,35.8
2010,4,10,46.150000000000006
2010,4,11,45.075
2010,4,12,48.400000000000006
2010,4,13,46.25
2010,4,14,51.725
2010,4,15,56.8
2010,4,16,45.7
2010,4,17,48.025000000000006
2010,4,18,46.474999999999994
2010,4,19,51.5
2010,4,20,52.459154929577466
2010,4,21,42.425
2010,4,22,44.275000000000006
2010,4,23,55.825
2010,4,24,55.525000000000006
2010,4,25,54.175
2010,4,26,49.55
