Winter,County,Frost_Start,Frost_End,Invalid
2001-2002,StLouis,2001/11/28,2002/04/17,False
2002-2003,StLouis,2002/11/13,2003/04/19,False
2003-2004,StLouis,2003/11/06,2004/04/10,False
2004-2005,StLouis,2004/11/28,2005/04/12,False
2005-2006,StLouis,2005/11/17,2006/04/07,False
2006-2007,StLouis,2006/11/28,2007/04/23,False
2007-2008,StLouis,2007/11/21,2008/04/27,False
2008-2009,StLouis,2008/11/18,2009/04/30,False
2009-2010,StLouis,2009/11/29,2010/04/08,False
2010-2011,StLouis,2010/11/22,2011/04/23,False
2011-2012,StLouis,2011/11/16,2012/03/23,False
2012-2013,StLouis,2012/11/26,2013/04/30,False
2013-2014,StLouis,2013/11/26,2014/05/27,False
2014-2015,StLouis,2014/11/12,2015/04/20,False
2015-2016,StLouis,2015/11/20,2016/04/04,False
2016-2017,StLouis,2016/12/27,2017/04/03,True
2017-2018,StLouis,2017/11/13,2018/04/25,False
2018-2019,StLouis,2018/11/13,2019/04/23,False
2019-2020,StLouis,2019/11/08,2020/04/06,False
2020-2021,StLouis,2020/11/30,2021/04/01,False
2021-2022,StLouis,2021/12/1,2022/04/28,True
