County,Date,THAW_DEPTH_in,FROST_DEPTH_in,SECONDARY_FROST_DEPTH_in
StLouis,2001/11/01,,,
StLouis,2001/11/02,,,
StLouis,2001/11/03,,,
StLouis,2001/11/04,,,
StLouis,2001/11/05,,,
StLouis,2001/11/06,,,
StLouis,2001/11/07,,,
StLouis,2001/11/08,,,
StLouis,2001/11/09,,,
StLouis,2001/11/10,,,
StLouis,2001/11/11,,,
StLouis,2001/11/12,,,
StLouis,2001/11/13,,,
StLouis,2001/11/14,,,
StLouis,2001/11/15,,,
StLouis,2001/11/16,,,
StLouis,2001/11/17,,,
StLouis,2001/11/18,,,
StLouis,2001/11/19,,,
StLouis,2001/11/20,,,
StLouis,2001/11/21,,,
StLouis,2001/11/22,,,
StLouis,2001/11/23,,,
StLouis,2001/11/24,,,
StLouis,2001/11/25,,,
StLouis,2001/11/26,,,
StLouis,2001/11/27,,,
StLouis,2001/11/28,,6,
StLouis,2001/11/29,,8,
StLouis,2001/11/30,,10,
StLouis,2001/12/01,,10,
StLouis,2001/12/02,,10,
StLouis,2001/12/03,,10,
StLouis,2001/12/04,,10,
StLouis,2001/12/05,,10,
StLouis,2001/12/06,,10,
StLouis,2001/12/07,,10,
StLouis,2001/12/08,,10,
StLouis,2001/12/09,,12,
StLouis,2001/12/10,,15,
StLouis,2001/12/11,,15,
StLouis,2001/12/12,,15,
StLouis,2001/12/13,,15,
StLouis,2001/12/14,,15,
StLouis,2001/12/15,,18,
StLouis,2001/12/16,,18,
StLouis,2001/12/17,,18,
StLouis,2001/12/18,,18,
StLouis,2001/12/19,,18,
StLouis,2001/12/20,,18,
StLouis,2001/12/21,,18,
StLouis,2001/12/22,,18,
StLouis,2001/12/23,,18,
StLouis,2001/12/24,,24,
StLouis,2001/12/25,,24,
StLouis,2001/12/26,,24,
StLouis,2001/12/27,,24,
StLouis,2001/12/28,,30,
StLouis,2001/12/29,,30,
StLouis,2001/12/30,,30,
StLouis,2001/12/31,,30,
StLouis,2002/01/01,,32,
StLouis,2002/01/02,,34,
StLouis,2002/01/03,,34,
StLouis,2002/01/04,,36,
StLouis,2002/01/05,,38,
StLouis,2002/01/06,,41,
StLouis,2002/01/07,,41,
StLouis,2002/01/08,,44,
StLouis,2002/01/09,,44,
StLouis,2002/01/10,,44,
StLouis,2002/01/11,,44,
StLouis,2002/01/12,,44,
StLouis,2002/01/13,,44,
StLouis,2002/01/14,,44,
StLouis,2002/01/15,,44,
