IYEAR,IMONTH,IDAY,AVG_DAILY_TEMP_F,DATE,COLD_F,HOT_F,INDEX,CUMM_COLD_F,CUMM_HOT_F
2016,7,1,58.0,2016-07-01,0.0,26.0,0,0.0,26.0
2016,7,2,60.0,2016-07-02,0.0,28.0,1,0.0,54.0
2016,7,3,64.0,2016-07-03,0.0,32.0,2,0.0,86.0
2016,7,4,68.0,2016-07-04,0.0,36.0,3,0.0,122.0
2016,7,5,69.0,2016-07-05,0.0,37.0,4,0.0,159.0
2016,7,6,67.0,2016-07-06,0.0,35.0,5,0.0,194.0
2016,7,7,63.0,2016-07-07,0.0,31.0,6,0.0,225.0
2016,7,8,63.0,2016-07-08,0.0,31.0,7,0.0,256.0
2016,7,9,63.0,2016-07-09,0.0,31.0,8,0.0,287.0
2016,7,10,66.0,2016-07-10,0.0,34.0,9,0.0,321.0
2016,7,11,66.0,2016-07-11,0.0,34.0,10,0.0,355.0
2016,7,12,70.0,2016-07-12,0.0,38.0,11,0.0,393.0
2016,7,13,68.0,2016-07-13,0.0,36.0,12,0.0,429.0
2016,7,14,61.0,2016-07-14,0.0,29.0,13,0.0,458.0
2016,7,15,59.0,2016-07-15,0.0,27.0,14,0.0,485.0
2016,7,16,62.0,2016-07-16,0.0,30.0,15,0.0,515.0
2016,7,17,66.0,2016-07-17,0.0,34.0,16,0.0,549.0
2016,7,18,62.0,2016-07-18,0.0,30.0,17,0.0,579.0
2016,7,19,65.0,2016-07-19,0.0,33.0,18,0.0,612.0
2016,7,20,75.0,2016-07-20,0.0,43.0,19,0.0,655.0
2016,7,21,78.0,2016-07-21,0.0,46.0,20,0.0,701.0
2016,7,22,72.0,2016-07-22,0.0,40.0,21,0.0,741.0
2016,7,23,68.0,2016-07-23,0.0,36.0,22,0.0,777.0
2016,7,24,70.0,2016-07-24,0.0,38.0,23,0.0,815.0
2016,7,25,69.0,2016-07-25,0.0,37.0,24,0.0,852.0
2016,7,26,71.0,2016-07-26,0.0,39.0,25,0.0,891.0
2016,7,27,67.0,2016-07-27,0.0,35.0,26,0.0,926.0
2016,7,28,64.0,2016-07-28,0.0,32.0,27,0.0,958.0
2016,7,29,63.0,2016-07-29,0.0,31.0,28,0.0,989.0
2016,7,30,62.0,2016-07-30,0.0,30.0,29,0.0,1019.0
2016,7,31,66.0,2016-07-31,0.0,34.0,30,0.0,1053.0
2016,8,1,70.0,2016-08-01,0.0,38.0,31,0.0,1091.0
2016,8,2,70.0,2016-08-02,0.0,38.0,32,0.0,1129.0
2016,8,3,70.0,2016-08-03,0.0,38.0,33,0.0,1167.0
2016,8,4,71.0,2016-08-04,0.0,39.0,34,0.0,1206.0
2016,8,5,65.0,2016-08-05,0.0,33.0,35,0.0,1239.0
2016,8,6,63.0,2016-08-06,0.0,31.0,36,0.0,1270.0
2016,8,7,62.0,2016-08-07,0.0,30.0,37,0.0,1300.0
2016,8,8,64.0,2016-08-08,0.0,32.0,38,0.0,1332.0
2016,8,9,71.0,2016-08-09,0.0,39.0,39,0.0,1371.0
2016,8,10,62.0,2016-08-10,0.0,30.0,40,0.0,1401.0
2016,8,11,63.0,2016-08-11,0.0,31.0,41,0.0,1432.0
2016,8,12,67.0,2016-08-12,0.0,35.0,42,0.0,1467.0
2016,8,13,64.0,2016-08-13,0.0,32.0,43,0.0,1499.0
2016,8,14,64.0,2016-08-14,0.0,32.0,44,0.0,1531.0
2016,8,15,64.0,2016-08-15,0.0,32.0,45,0.0,1563.0
2016,8,16,69.0,2016-08-16,0.0,37.0,46,0.0,1600.0
2016,8,17,68.0,2016-08-17,0.0,36.0,47,0.0,1636.0
2016,8,18,68.0,2016-08-18,0.0,36.0,48,0.0,1672.0
2016,8,19,66.0,2016-08-19,0.0,34.0,49,0.0,1706.0
2016,8,20,58.0,2016-08-20,0.0,26.0,50,0.0,1732.0
2016,8,21,57.0,2016-08-21,0.0,25.0,51,0.0,1757.0
2016,8,22,64.0,2016-08-22,0.0,32.0,52,0.0,1789.0
2016,8,23,73.0,2016-08-23,0.0,41.0,53,0.0,1830.0
2016,8,24,71.0,2016-08-24,0.0,39.0,54,0.0,1869.0
2016,8,25,61.0,2016-08-25,0.0,29.0,55,0.0,1898.0
2016,8,26,59.0,2016-08-26,0.0,27.0,56,0.0,1925.0
2016,8,27,61.0,2016-08-27,0.0,29.0,57,0.0,1954.0
2016,8,28,60.0,2016-08-28,0.0,28.0,58,0.0,1982.0
2016,8,29,67.0,2016-08-29,0.0,35.0,59,0.0,2017.0
2016,8,30,64.0,2016-08-30,0.0,32.0,60,0.0,2049.0
2016,8,31,55.0,2016-08-31,0.0,23.0,61,0.0,2072.0
2016,9,1,58.0,2016-09-01,0.0,26.0,62,0.0,2098.0
2016,9,2,59.0,2016-09-02,0.0,27.0,63,0.0,2125.0
2016,9,3,62.0,2016-09-03,0.0,30.0,64,0.0,2155.0
2016,9,4,66.0,2016-09-04,0.0,34.0,65,0.0,2189.0
2016,9,5,66.0,2016-09-05,0.0,34.0,66,0.0,2223.0
2016,9,6,66.0,2016-09-06,0.0,34.0,67,0.0,2257.0
2016,9,7,60.0,2016-09-07,0.0,28.0,68,0.0,2285.0
2016,9,8,61.0,2016-09-08,0.0,29.0,69,0.0,2314.0
2016,9,9,58.0,2016-09-09,0.0,26.0,70,0.0,2340.0
2016,9,10,57.0,2016-09-10,0.0,25.0,71,0.0,2365.0
2016,9,11,57.0,2016-09-11,0.0,25.0,72,0.0,2390.0
2016,9,12,62.0,2016-09-12,0.0,30.0,73,0.0,2420.0
2016,9,13,54.0,2016-09-13,0.0,22.0,74,0.0,2442.0
2016,9,14,47.0,2016-09-14,0.0,15.0,75,0.0,2457.0
2016,9,15,52.0,2016-09-15,0.0,20.0,76,0.0,2477.0
2016,9,16,60.0,2016-09-16,0.0,28.0,77,0.0,2505.0
2016,9,17,59.0,2016-09-17,0.0,27.0,78,0.0,2532.0
2016,9,18,59.0,2016-09-18,0.0,27.0,79,0.0,2559.0
2016,9,19,61.0,2016-09-19,0.0,29.0,80,0.0,2588.0
2016,9,20,56.0,2016-09-20,0.0,24.0,81,0.0,2612.0
2016,9,21,50.0,2016-09-21,0.0,18.0,82,0.0,2630.0
2016,9,22,57.0,2016-09-22,0.0,25.0,83,0.0,2655.0
2016,9,23,54.0,2016-09-23,0.0,22.0,84,0.0,2677.0
2016,9,24,57.0,2016-09-24,0.0,25.0,85,0.0,2702.0
2016,9,25,61.0,2016-09-25,0.0,29.0,86,0.0,2731.0
2016,9,26,49.0,2016-09-26,0.0,17.0,87,0.0,2748.0
2016,9,27,47.0,2016-09-27,0.0,15.0,88,0.0,2763.0
2016,9,28,51.0,2016-09-28,0.0,19.0,89,0.0,2782.0
2016,9,29,53.0,2016-09-29,0.0,21.0,90,0.0,2803.0
2016,9,30,51.0,2016-09-30,0.0,19.0,91,0.0,2822.0
2016,10,1,56.0,2016-10-01,0.0,24.0,92,0.0,2846.0
2016,10,2,54.0,2016-10-02,0.0,22.0,93,0.0,2868.0
2016,10,3,54.0,2016-10-03,0.0,22.0,94,0.0,2890.0
2016,10,4,57.0,2016-10-04,0.0,25.0,95,0.0,2915.0
2016,10,5,58.0,2016-10-05,0.0,26.0,96,0.0,2941.0
2016,10,6,49.0,2016-10-06,0.0,17.0,97,0.0,2958.0
2016,10,7,39.0,2016-10-07,0.0,7.0,98,0.0,2965.0
2016,10,8,40.0,2016-10-08,0.0,8.0,99,0.0,2973.0
2016,10,9,40.0,2016-10-09,0.0,8.0,100,0.0,2981.0
2016,10,10,54.0,2016-10-10,0.0,22.0,101,0.0,3003.0
2016,10,11,59.0,2016-10-11,0.0,27.0,102,0.0,3030.0
2016,10,12,39.0,2016-10-12,0.0,7.0,103,0.0,3037.0
2016,10,13,38.0,2016-10-13,0.0,6.0,104,0.0,3043.0
2016,10,14,45.0,2016-10-14,0.0,13.0,105,0.0,3056.0
2016,10,15,59.0,2016-10-15,0.0,27.0,106,0.0,3083.0
2016,10,16,45.0,2016-10-16,0.0,13.0,107,0.0,3096.0
2016,10,17,48.0,2016-10-17,0.0,16.0,108,0.0,3112.0
2016,10,18,48.0,2016-10-18,0.0,16.0,109,0.0,3128.0
2016,10,19,41.0,2016-10-19,0.0,9.0,110,0.0,3137.0
2016,10,20,37.0,2016-10-20,0.0,5.0,111,0.0,3142.0
